39.327	-8.942	8.80E-02	0
39.324	-8.894	7.80E-02	3
39.322	-8.847	6.60E-02	0
39.320	-8.799	8.00E-02	3
39.318	-8.752	8.50E-02	0
39.316	-8.706	8.10E-02	3
39.314	-8.661	1.00E-01	0
39.312	-8.615	1.20E-01	3
39.310	-8.570	1.56E-01	0
39.308	-8.524	1.46E-01	3
39.306	-8.478	6.50E-02	0
39.303	-8.432	6.80E-02	3
39.301	-8.388	8.90E-02	0
39.299	-8.343	8.20E-02	3
39.297	-8.299	6.60E-02	0
39.295	-8.255	6.60E-02	3
39.322	-9.236	9.90E-02	3
39.320	-9.187	1.07E-01	3
39.318	-9.135	9.00E-02	3
39.316	-9.087	8.60E-02	3
39.314	-9.039	8.70E-02	3
39.312	-8.990	6.60E-02	3
39.310	-8.942	7.70E-02	3
39.308	-8.895	7.80E-02	3
39.305	-8.847	6.90E-02	3
39.303	-8.800	7.60E-02	3
39.301	-8.753	8.20E-02	3
39.299	-8.707	8.40E-02	3
39.297	-8.661	9.60E-02	3
39.295	-8.616	1.20E-01	3
39.293	-8.571	1.38E-01	3
39.291	-8.525	1.08E-01	3
39.289	-8.478	5.90E-02	3
39.287	-8.433	5.10E-02	3
39.285	-8.388	6.00E-02	3
39.283	-8.344	6.10E-02	3
39.281	-8.300	6.50E-02	3
39.279	-8.256	6.00E-02	3
39.304	-9.236	7.40E-02	0
39.302	-9.188	9.00E-02	3
39.300	-9.137	9.70E-02	0
39.298	-9.088	9.80E-02	3
39.296	-9.039	8.50E-02	0
39.294	-8.990	6.30E-02	3
39.293	-8.943	6.40E-02	0
39.291	-8.896	8.30E-02	3
39.289	-8.849	8.30E-02	0
39.287	-8.801	8.00E-02	3
39.285	-8.755	9.20E-02	0
39.283	-8.708	9.10E-02	3
39.281	-8.663	1.01E-01	1
39.279	-8.617	1.30E-01	3
39.277	-8.571	1.42E-01	2
39.275	-8.526	8.60E-02	3
39.272	-8.480	6.40E-02	0
39.270	-8.434	7.60E-02	3
39.268	-8.389	6.90E-02	0
39.266	-8.345	6.90E-02	3
39.264	-8.301	8.20E-02	0
39.262	-8.257	6.30E-02	3
39.287	-9.236	9.70E-02	3
39.285	-9.188	1.04E-01	3
39.283	-9.139	9.60E-02	3
39.281	-9.089	9.80E-02	3
39.279	-9.040	8.90E-02	3
39.277	-8.991	6.20E-02	3
39.276	-8.944	5.20E-02	3
39.274	-8.897	6.10E-02	3
39.272	-8.850	7.90E-02	3
39.270	-8.803	7.20E-02	3
39.268	-8.756	8.40E-02	3
39.266	-8.709	1.00E-01	3
39.264	-8.664	1.18E-01	3
39.262	-8.618	1.54E-01	3
39.260	-8.572	1.39E-01	3
39.258	-8.526	8.30E-02	3
39.256	-8.480	6.40E-02	3
39.254	-8.435	7.30E-02	3
39.252	-8.390	6.30E-02	3
39.250	-8.347	6.80E-02	3
39.248	-8.302	6.50E-02	3
39.246	-8.259	6.50E-02	3
39.270	-9.237	1.12E-01	0
39.268	-9.189	1.08E-01	3
39.266	-9.140	1.04E-01	1
39.264	-9.090	9.50E-02	3
39.262	-9.041	7.80E-02	2
39.260	-8.992	5.00E-02	3
39.259	-8.945	5.30E-02	1
39.257	-8.898	7.20E-02	3
39.255	-8.850	7.70E-02	0
39.253	-8.803	7.60E-02	3
39.251	-8.757	7.00E-02	1
39.249	-8.710	1.08E-01	3
39.247	-8.665	1.26E-01	0
39.245	-8.619	1.40E-01	3
39.243	-8.573	1.14E-01	2
39.241	-8.526	7.60E-02	3
39.239	-8.481	6.30E-02	1
39.237	-8.436	7.50E-02	3
39.235	-8.391	7.10E-02	0
