-8.415	39.349	1.9641E-02	3
-8.371	39.347	1.9231E-02	0
-8.326	39.345	1.2900E-02	3
-8.282	39.343	1.5688E-02	0
-8.879	39.349	1.7837E-02	3
-8.832	39.347	2.5849E-02	3
-8.784	39.346	2.8999E-02	3
-8.737	39.344	2.9238E-02	3
-8.691	39.342	3.3388E-02	3
-8.645	39.341	3.6850E-02	3
-8.600	39.339	3.8641E-02	3
-8.555	39.337	7.9055E-02	3
-8.509	39.336	7.9593E-02	3
-8.463	39.334	3.3575E-02	3
-8.417	39.332	1.3879E-02	3
-8.373	39.330	2.0180E-02	3
-8.328	39.329	2.1310E-02	3
-8.284	39.327	2.1268E-02	3
-8.562	39.349	6.0148E-02	3
-8.516	39.347	7.6879E-02	3
-8.470	39.345	4.0848E-02	3
-8.423	39.343	1.6638E-02	3
-8.379	39.341	1.7727E-02	2
-8.335	39.339	1.6969E-02	3
-8.291	39.337	1.5410E-02	3
-8.982	39.349	2.7986E-02	3
-8.934	39.347	3.6684E-02	1
-8.887	39.345	1.8974E-02	3
-8.840	39.343	2.6204E-02	1
-8.792	39.342	3.0085E-02	3
-8.744	39.340	2.6679E-02	1
-8.699	39.338	3.5823E-02	3
-8.653	39.336	5.2409E-02	0
-8.608	39.334	4.0951E-02	3
-8.563	39.332	7.9929E-02	2
-8.517	39.330	7.8390E-02	3
-8.472	39.328	5.1499E-02	0
-8.426	39.326	1.8288E-02	3
-8.381	39.324	2.8111E-02	0
-8.336	39.322	2.1232E-02	3
-8.292	39.320	3.0186E-02	0
-9.230	39.341	3.8725E-02	3
-9.180	39.339	4.2948E-02	3
-9.130	39.337	2.7678E-02	3
-9.081	39.336	2.4633E-02	3
-9.031	39.334	1.9882E-02	3
-8.983	39.332	2.2790E-02	3
-8.936	39.330	5.0773E-02	3
-8.888	39.328	2.6761E-02	3
-8.841	39.327	2.5088E-02	3
-8.793	39.325	3.7018E-02	3
-8.746	39.323	3.5823E-02	3
-8.700	39.321	3.5949E-02	3
-8.654	39.319	4.5414E-02	3
